Naziv knjige,Autor,Predložio,Korice,Epizoda,Prevod
Bogati otac siromašni otac,Robert Kiosaki,"Branimir Gajić, Ognjen Radić",https://www.finesa.edu.rs/wp-content/uploads/2019/02/Bogati-otac-1-760x1024-min.png,https://youtu.be/gvUqjLeZA1U,Yes
Funky Business: kapital igra kako talenat svira,,Veselin Jevrosimović,https://i.pinimg.com/originals/bb/8f/ca/bb8fcaff0ba95a07c62eceab0d1a3036.jpg,,Yes
Pobunjeni Atlas,"Ajn Rend ",Srđan Janićijević,https://static.kupindoslike.com/Pobunjeni-Atlas_slika_O_107159031.jpg, https://youtu.be/azHHmTjm_zo,Yes
"Globalna ekonomija ",Erik S. Reinert,Srđan Janićijević,https://dereta.rs/cached/dereta.rs/Images/6349-Globalna-ekonomija.jpg, https://youtu.be/azHHmTjm_zo,Yes
"Psihologija novca ",Morgan Hausel,Ivan Jakovljević,https://www.delfi.rs/_img/artikli/2020/12/psihologija_novca_vv.jpg,https://youtu.be/mtle6Ogs6FU,Yes
"Crni labud ",Nasim Nikolas Taleb,Ognjen Vuković,https://www.makart.rs/__public/upload/2019/06/24/crni-labud-nasim-taleb-makart--f1-29950.jpg,https://youtu.be/xzAc1xwB3tk,Yes
Antikrhkost,Nasim Nikolas Taleb,Ognjen Vuković,https://delfi.rs/_img/artikli/2019/04/antikrhkost_stvari_kojima_prija_nered_vv.jpg,https://youtu.be/xzAc1xwB3tk,Yes
How to Get Rich,Felix Dennis,Istok Pavlović,"https://images-na.ssl-images-amazon.com/images/I/51sZ6oa9-KL._SX324_BO1,204,203,200_.jpg",https://youtu.be/ucs66Ndhl_Y,No
Dotcom Secrets,Russell Brunson,Stefan Gajić,https://m.media-amazon.com/images/I/511Tg8yw2YL._SY346_.jpg,https://youtu.be/2aC81Bz3PAU,No
Expert Secrets,Russell Brunson,Stefan Gajić,https://m.media-amazon.com/images/I/51W6AQKcMNL.jpg,https://youtu.be/2aC81Bz3PAU,No
Traffic Secrets,Russell Brunson,Stefan Gajić,https://m.media-amazon.com/images/I/51DEjt8psoL._SY346_.jpg,https://youtu.be/2aC81Bz3PAU,No
"All about Them ",Bruce Turkel,Aleksandar Sasha Jovičić,https://m.media-amazon.com/images/I/41uXJfzb5qL.jpg,https://youtu.be/LYK8cRYGfIs,No
"Principles: Life and Work "," Ray Dalio",Aleksandar Sasha Jovičić,https://m.media-amazon.com/images/I/71FDkx5WllL._AC_UY436_FMwebp_QL65_.jpg,https://youtu.be/LYK8cRYGfIs,No
Dodging Energy Vampires," Christiane Northrup M.D",Aleksandar Sasha Jovičić,https://m.media-amazon.com/images/I/51aubuBy36L._SY346_.jpg,https://youtu.be/LYK8cRYGfIs,No
Mentalni Stav,Kerol Dvek,Petar Kosovac,https://psihopolis.edu.rs/wp-content/uploads/2018/03/knjiga-mentalni-stav-odlomak_1-600x870.jpg,https://youtu.be/PedyNlRwOFI,Yes
Mood Mapping,Liz Miller,Petar Kosovac,https://m.media-amazon.com/images/I/419+WKod5QL._SY346_.jpg,https://youtu.be/PedyNlRwOFI,No
The Five Dysfunctions of a Team,Patrick M. Lencioni,Petar Kosovac,https://m.media-amazon.com/images/I/51QArmq8raL.jpg,https://youtu.be/PedyNlRwOFI,No
Hagakure - knjiga o samurajima,Jamamoto Cunetomo,Petar Kosovac,https://www.korisnaknjiga.com/photo/books0005/p004436b0.jpg,https://youtu.be/PedyNlRwOFI,Yes
